Rank,Grade,Industry(Sector33),Sector(17),RS,Median Raw,Count
1,A,銀行業,銀行,98,22.97,79
2,A,非鉄金属,鉄鋼・非鉄,96,21.62,33
3,A,電気機器,電機・精密,92,16.51,227
4,A,鉱業,エネルギー資源,90,12.84,5
5,A,海運業,運輸・物流,86,12.37,11
6,A,精密機器,電機・精密,84,12.36,51
7,A,ガラス･土石製品,建設・資材,80,11.93,50
8,B,機械,機械,78,7.76,211
9,B,建設業,建設・資材,74,7.36,143
10,B,石油･石炭製品,エネルギー資源,72,7.3,9
11,B,証券･商品先物取引業,金融（除く銀行）,68,7.22,36
12,B,保険業,金融（除く銀行）,66,7.18,13
13,B,倉庫･運輸関連業,運輸・物流,62,7.13,31
14,B,輸送用機器,自動車・輸送機,60,6.68,85
15,C,化学,素材・化学,56,6.2,203
16,C,繊維製品,素材・化学,54,5.19,47
17,C,鉄鋼,鉄鋼・非鉄,50,5.07,38
18,C,電気･ガス業,電気・ガス,48,5.03,28
19,C,金属製品,建設・資材,44,4.74,86
20,C,その他金融業,金融（除く銀行）,42,4.16,38
21,D,卸売業,商社・卸売,38,3.94,289
22,D,ゴム製品,自動車・輸送機,36,2.82,17
23,D,パルプ・紙,素材・化学,32,2.73,24
24,D,陸運業,運輸・物流,30,2.36,57
25,D,その他製品,情報通信・サービスその他,26,2.35,105
26,D,不動産業,不動産,24,2.22,131
27,D,医薬品,医薬品,20,0.66,80
28,E,水産・農林業,食品,18,0.57,12
29,E,サービス業,情報通信・サービスその他,14,0.41,528
30,E,食料品,食品,12,0.08,123
31,E,情報･通信業,情報通信・サービスその他,8,0.01,593
32,E,小売業,小売,6,-0.29,325
33,E,空運業,運輸・物流,2,-2.76,5
