Rank,Grade,Industry(Sector33),Sector(17),RS,Median Raw,Count
1,A,非鉄金属,鉄鋼・非鉄,98,22.27,33
2,A,銀行業,銀行,96,21.14,79
3,A,電気機器,電機・精密,92,15.37,227
4,A,鉱業,エネルギー資源,90,13.5,5
5,A,海運業,運輸・物流,86,11.35,11
6,A,精密機器,電機・精密,84,10.88,51
7,A,ガラス･土石製品,建設・資材,80,10.65,50
8,B,機械,機械,78,7.95,211
9,B,輸送用機器,自動車・輸送機,74,7.86,85
10,B,石油･石炭製品,エネルギー資源,72,7.53,9
11,B,保険業,金融（除く銀行）,68,7.3,13
12,B,建設業,建設・資材,66,6.9,143
13,B,倉庫･運輸関連業,運輸・物流,62,6.87,31
14,B,化学,素材・化学,60,6.6,203
15,C,証券･商品先物取引業,金融（除く銀行）,56,6.13,36
16,C,鉄鋼,鉄鋼・非鉄,54,5.37,38
17,C,電気･ガス業,電気・ガス,50,5.34,28
18,C,繊維製品,素材・化学,48,4.85,47
19,C,その他金融業,金融（除く銀行）,44,4.55,38
20,C,卸売業,商社・卸売,42,3.9,289
21,D,金属製品,建設・資材,38,3.87,86
22,D,ゴム製品,自動車・輸送機,36,3.39,17
23,D,不動産業,不動産,32,2.44,131
24,D,その他製品,情報通信・サービスその他,30,2.19,105
25,D,パルプ・紙,素材・化学,26,1.94,24
26,D,陸運業,運輸・物流,24,1.88,57
27,D,食料品,食品,20,0.2,123
28,E,サービス業,情報通信・サービスその他,18,0.15,528
29,E,水産・農林業,食品,14,0.09,12
30,E,小売業,小売,12,-0.32,325
31,E,情報･通信業,情報通信・サービスその他,8,-0.46,593
32,E,医薬品,医薬品,6,-0.75,80
33,E,空運業,運輸・物流,2,-2.32,5
