Ticker,EPS_accel,EPS_YoY_Q0,EPS_YoY_Q1,Rev_accel,Rev_YoY_Q0,Rev_YoY_Q1,asof,periods
6498,N,-0.6,0.6,N,2.7,2.8,2026-02-12,8
6507,N,4.8,6.3,N,4.6,7.8,2026-02-06,8
6597,N,73.5,157.2,N,6.9,10.2,2026-02-13,8
6613,N,31.9,46.2,N,6.3,12.9,2026-02-12,8
6614,N,-838.5,-382.5,N,-1.4,1.4,2026-02-12,8
6620,N,-370.9,-65.7,N,-52.9,-46.7,2026-02-10,8
6656,N,-2245.8,-14.3,N,-63.0,-56.0,2025-12-12,8
6745,N,15.7,31.8,N,4.9,6.7,2026-02-04,8
6779,N,-45.4,-43.0,N,0.5,1.4,2026-02-10,8
6788,N,-15.1,-14.6,N,8.1,9.2,2026-02-12,8
6822,N,67.8,443.0,N,8.2,9.8,2026-02-13,8
6838,,335.6,,,137.1,,2026-02-19,5
6918,N,-55.4,-54.5,N,-23.9,-23.2,2026-02-12,8
6969,N,-18.7,187.9,N,11.0,16.4,2026-02-10,8
6976,N,54.3,55.1,N,4.5,5.8,2026-02-06,8
7012,N,49.4,62.0,N,10.9,12.7,2026-02-09,8
7157,N,25.9,42.0,,,,2026-02-12,8
7162,N,-240.1,-141.5,N,4.1,6.2,2026-02-02,8
7267,N,-31.9,-26.1,N,-2.2,-1.5,2026-02-10,8
7270,N,-73.3,-43.4,N,-0.5,5.3,2026-02-06,8
7384,N,-19.7,-13.0,N,9.4,13.0,2026-02-06,8
7419,N,-57.7,38.4,N,15.8,17.7,2026-01-29,8
7508,N,8.4,10.3,N,8.8,9.6,2026-01-30,8
7711,N,8.4,24.5,N,10.0,10.1,2026-02-05,8
7721,N,86.5,1229.9,N,16.1,18.7,2026-02-06,8
7735,N,-18.7,-15.6,N,-7.5,-1.1,2026-02-13,8
7769,N,316.0,448.6,N,1.5,3.8,2026-02-13,8
7859,N,-237.1,-184.0,N,-65.4,-64.7,2026-02-04,8
7956,N,2.4,29.6,N,4.8,5.9,2026-02-13,8
8007,N,-40.5,-27.7,N,-3.4,-3.0,2026-02-12,8
8051,N,19.1,67.4,N,4.1,4.4,2026-02-12,8
8132,N,-11.4,172.8,N,-3.3,-2.5,2026-02-10,8
8147,N,9.5,26.7,N,0.9,14.0,2026-02-16,8
8551,N,-12.8,-5.9,N,10.6,13.0,2026-01-30,8
8818,N,6.3,29.4,N,3.9,4.9,2026-01-30,8
8871,N,3.2,46.7,N,-5.5,16.7,2026-01-30,8
9074,N,23.9,55.0,N,4.2,4.7,2026-02-06,8
9147,N,-91.1,-78.3,N,-0.1,0.4,2026-02-13,8
9165,N,45.6,170.3,N,6.8,9.0,2026-02-13,8
9227,N,-355.2,-183.3,N,-17.9,4.6,2026-02-10,8
9337,N,63.0,74.5,N,25.7,27.6,2026-02-12,8
9405,N,210.6,381.8,N,7.7,12.1,2026-02-09,8
9517,N,-21.2,-13.4,N,1.1,4.0,2026-03-02,8
9658,N,12.6,32.8,N,10.0,13.0,2026-02-12,8
9934,N,-38.0,25.6,N,6.9,7.0,2026-01-30,8
