Ticker,EPS_accel,EPS_YoY_Q0,EPS_YoY_Q1,Rev_accel,Rev_YoY_Q0,Rev_YoY_Q1,asof,periods
3480,N,-31.1,-25.1,Y,9.4,9.4,2025-12-12,8
3611,N,-7.5,11.5,Y,2.7,-1.2,2026-02-12,8
3652,N,-505.9,-358.3,Y,-24.9,-41.2,2026-02-12,8
3853,N,226.4,436.8,Y,5.4,4.0,2026-02-13,8
3935,N,129.0,134.0,Y,37.8,37.2,2026-01-14,8
4005,N,205.6,708.0,Y,-10.4,-11.8,2026-02-03,8
4022,N,62.6,112.1,Y,5.5,3.9,2026-02-12,8
4027,N,-40.7,-28.1,Y,1.5,-3.2,2026-02-06,8
4062,N,-37.5,7.6,Y,10.5,7.7,2026-02-24,8
4078,N,-19.6,71.4,Y,-3.5,-4.3,2026-02-12,8
4082,N,13.2,109.2,Y,5.0,0.8,2026-02-12,8
4180,N,-12.4,34.4,Y,28.4,26.3,2026-02-13,8
4188,N,83.8,177.0,Y,-17.8,-19.8,2026-02-12,8
4208,N,210.2,3317.1,Y,-7.6,-12.5,2026-02-04,8
4231,N,47.9,65.1,Y,4.4,-1.8,2026-02-09,8
4258,N,-2.7,-0.8,Y,24.5,21.9,2026-02-12,9
4320,N,70.2,1107.0,Y,33.2,8.8,2026-02-06,8
4350,N,-30.1,118.6,Y,7.4,6.9,2026-02-06,8
4471,N,251.5,1006.7,Y,-13.1,-17.2,2026-02-09,8
4543,N,11.6,22.5,Y,7.7,5.2,2026-02-13,8
4565,N,-157.4,-36.5,Y,2.7,-0.6,2026-02-13,8
4578,N,8.1,58.7,Y,6.0,5.1,2026-02-13,8
4631,N,51.8,104.4,Y,-1.8,-2.7,2026-02-16,8
4816,N,6.0,6.3,Y,-7.6,-8.2,2026-01-30,8
4889,N,-241.5,-108.0,Y,-38.5,-81.8,2026-02-13,8
4977,N,48.5,169.8,Y,-5.0,-6.3,2026-02-13,8
5010,N,-60.7,-55.3,Y,-10.3,-12.3,2026-02-16,8
5020,N,-19.3,2.9,Y,-9.2,-10.3,2026-02-13,8
5076,N,145.3,200.4,Y,27.2,11.5,2026-02-10,8
5232,N,-2.8,514.7,Y,-1.1,-2.6,2026-02-10,8
5255,N,97.4,102.5,Y,-22.1,-26.6,2026-02-27,8
5301,N,135.4,192.6,Y,-7.8,-8.2,2026-02-12,8
5384,N,6.9,6.9,Y,9.9,8.9,2026-02-03,8
5757,N,-87.7,-30.0,Y,12.6,12.0,2026-02-13,8
5915,N,-82.9,223.1,Y,-22.5,-26.9,2026-02-13,8
5975,N,32.2,171.0,Y,-0.4,-0.5,2026-02-13,8
6194,N,-52.1,69.6,Y,0.9,-11.2,2026-02-10,8
6278,N,15.7,30.7,Y,23.2,22.7,2026-02-12,8
6284,N,11.0,33.9,Y,20.1,18.7,2026-02-13,8
6298,N,259.3,679.8,Y,17.6,13.8,2026-02-12,8
6331,N,-44.0,-38.9,Y,43.5,35.7,2026-01-30,8
6361,N,7.6,8.9,Y,10.6,9.8,2026-02-13,8
6376,N,71.6,74.9,Y,1.1,0.4,2026-02-13,8
6457,N,-64.2,-53.6,Y,-13.4,-16.9,2026-02-06,8
6464,N,-3142.4,-256.8,Y,-8.0,-9.5,2026-02-13,8
6506,N,-43.5,3.0,Y,0.4,-0.5,2026-01-09,8
6544,N,-35.6,-34.7,Y,16.9,15.7,2026-02-10,8
6584,N,45.7,158.2,Y,-2.3,-3.2,2026-02-10,8
6590,N,27.3,29.6,Y,17.0,16.2,2026-02-05,8
6616,N,356.9,6119.6,Y,-0.4,-5.2,2026-02-13,8
6619,N,-3310.2,-523.9,Y,-91.2,-95.0,2025-12-11,8
6635,N,-23.4,-13.0,Y,-5.1,-5.6,2026-03-04,8
6644,N,-86.8,26.7,Y,2.6,2.2,2026-02-19,8
6707,N,-107.9,-103.3,Y,-38.4,-43.7,2026-02-09,8
6724,N,-23.2,-17.3,Y,2.0,-1.0,2026-02-03,8
6845,N,-18.2,27.1,Y,-4.5,-4.6,2026-02-06,8
6853,N,0.3,5.9,Y,6.0,4.4,2026-02-09,8
6914,N,15.8,29.0,Y,4.1,1.5,2026-02-13,8
6981,N,-20.3,3.3,Y,2.9,2.2,2026-02-02,8
6994,N,114.1,268.8,Y,4.6,3.2,2026-02-05,8
7069,N,36.8,119.6,Y,0.6,-4.4,2026-02-12,8
7215,N,-109.9,-11.1,Y,-11.1,-12.2,2026-02-12,8
7220,N,-113.5,45.7,Y,-1.4,-2.8,2026-02-06,8
7272,N,-84.9,-67.8,Y,-1.6,-3.4,2026-02-13,8
7318,N,-61.4,1607.9,Y,128.6,96.9,2026-02-10,8
