コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,20日平均出来高,RS,Industry Rank,Grade
4578,大塚ホールディングス,プライム,医薬品,医薬品,5.16,80.8,11715,"2,286,100","1,254,850",86,32/33,E
5019,出光興産,プライム,エネルギー資源,石油･石炭製品,6.39,70.4,1398,"11,955,600","5,312,640",80,10/33,B
6785,鈴木,プライム,電機・精密,電気機器,5.21,111.4,3430,"133,200","80,955",90,3/33,A
6498,キッツ,プライム,機械,機械,6.17,107.3,2237,"960,500","282,420",89,8/33,B
6245,ヒラノテクシード,スタンダード,機械,機械,8.20,47.2,2006,"329,800","96,970",77,8/33,B
6824,新コスモス電機,スタンダード,電機・精密,電気機器,7.33,117.2,4830,"18,500","15,315",94,3/33,A
3556,リネットジャパングループ,グロース,小売,小売業,5.00,132.0,819,"173,900","139,380",70,30/33,E
3101,東洋紡,プライム,素材・化学,化学,5.72,114.5,1810,"2,144,200","795,170",90,14/33,B
7435,ナ・デックス,スタンダード,商社・卸売,卸売業,5.45,34.2,1160,"835,800","39,460",74,20/33,C
4238,ミライアル,スタンダード,素材・化学,化学,9.73,52.9,1613,"251,300","46,345",73,14/33,B
7637,白銅,プライム,商社・卸売,卸売業,5.18,82.9,3855,"113,600","49,070",92,20/33,C
6966,三井ハイテック,プライム,電機・精密,電気機器,15.87,81.2,1022,"9,429,100","2,438,110",81,3/33,A
6853,共和電業,スタンダード,電機・精密,電気機器,7.22,87.8,935,"236,300","113,785",87,3/33,A
6997,日本ケミコン,プライム,電機・精密,電気機器,15.98,411.0,5080,"2,453,900","1,192,915",99,3/33,A
6976,太陽誘電,プライム,電機・精密,電気機器,13.87,569.6,14815,"27,968,600","7,179,810",99,3/33,A
6850,チノー,プライム,電機・精密,電気機器,7.22,64.5,1737,"135,000","49,970",78,3/33,A
6656,インスペック,スタンダード,電機・精密,電気機器,12.37,69.0,845,"372,100","138,500",79,3/33,A
6994,指月電機製作所,スタンダード,電機・精密,電気機器,19.98,237.7,1315,"2,036,700","562,380",97,3/33,A
4022,ラサ工業,プライム,素材・化学,化学,5.53,227.5,1964,"2,481,400","1,679,985",95,14/33,B
4063,信越化学工業,プライム,素材・化学,化学,5.64,82.5,7758,"15,831,800","8,402,425",88,14/33,B
6996,ニチコン,プライム,電機・精密,電気機器,6.50,243.6,3770,"1,868,300","1,146,785",98,3/33,A
9983,ファーストリテイリング,プライム,小売,小売業,5.04,91.2,82330,"1,610,600","1,206,100",86,30/33,E
9268,オプティマスグループ,スタンダード,商社・卸売,卸売業,5.19,31.9,405,"488,400","366,980",67,20/33,C
7715,長野計器,プライム,電機・精密,精密機器,9.54,85.8,3285,"170,900","104,205",85,6/33,A
4112,保土谷化学工業,プライム,素材・化学,化学,5.79,75.4,2412,"71,700","71,180",81,14/33,B
4043,トクヤマ,プライム,素材・化学,化学,7.90,93.8,5107,"1,347,000","1,171,530",90,14/33,B
5726,大阪チタニウムテクノロジーズ,プライム,鉄鋼・非鉄,非鉄金属,8.31,113.1,2920,"1,598,400","673,290",85,1/33,A
4028,石原産業,プライム,素材・化学,化学,9.18,100.5,3330,"1,247,800","575,270",86,14/33,B
5802,住友電気工業,プライム,鉄鋼・非鉄,非鉄金属,5.27,394.1,12585,"9,941,900","7,208,200",98,1/33,A
6999,ＫＯＡ,プライム,電機・精密,電気機器,8.46,252.8,2770,"2,248,400","689,985",97,3/33,A
280A,ＴＭＨ,グロース,商社・卸売,卸売業,12.75,219.4,2820,"496,300","222,045",97,20/33,C
6981,村田製作所,プライム,電機・精密,電気機器,12.73,378.9,9625,"75,663,400","18,587,785",99,3/33,A
3994,マネーフォワード,プライム,情報通信・サービスその他,情報･通信業,7.23,57.2,4343,"857,900","549,820",84,31/33,E
4098,チタン工業,スタンダード,素材・化学,化学,6.68,79.7,1325,"341,400","82,695",85,14/33,B
4078,堺化学工業,プライム,素材・化学,化学,16.51,105.6,4940,"1,140,200","276,880",90,14/33,B
4503,アステラス製薬,プライム,医薬品,医薬品,7.49,75.7,2283,"20,918,200","7,072,210",81,32/33,E
5290,ベルテクスコーポレーション,スタンダード,建設・資材,ガラス･土石製品,7.07,58.6,1575,"154,300","75,420",74,7/33,A
6971,京セラ,プライム,電機・精密,電気機器,6.48,123.3,3483,"19,705,500","6,084,705",91,3/33,A
147A,ソラコム,グロース,情報通信・サービスその他,情報･通信業,7.62,48.4,1187,"319,100","115,630",82,31/33,E
285A,キオクシアホールディングス,プライム,電機・精密,電気機器,7.46,3222.4,65850,"42,526,500","32,185,350",99,3/33,A
6864,エヌエフホールディングス,スタンダード,電機・精密,電気機器,12.56,95.6,2043,"418,300","106,040",91,3/33,A
6962,大真空,プライム,電機・精密,電気機器,7.26,121.9,1019,"2,325,100","503,060",95,3/33,A
5233,太平洋セメント,プライム,建設・資材,ガラス･土石製品,5.62,37.9,4530,"1,436,900","827,595",60,7/33,A
4840,トライアイズ,スタンダード,情報通信・サービスその他,サービス業,18.12,226.0,978,"170,000","110,680",99,28/33,E
3436,ＳＵＭＣＯ,プライム,建設・資材,金属製品,19.30,332.1,3994,"21,624,300","15,551,260",99,21/33,D
6762,ＴＤＫ,プライム,電機・精密,電気機器,8.22,179.9,4108,"28,286,900","15,116,360",98,3/33,A
4062,イビデン,プライム,電機・精密,電気機器,16.51,814.2,23000,"10,164,100","8,863,240",99,3/33,A
6327,北川精機,スタンダード,機械,機械,18.20,897.7,5910,"2,346,700","728,890",99,8/33,B
4499,Ｓｐｅｅｅ,スタンダード,情報通信・サービスその他,情報･通信業,6.57,80.1,3570,"230,400","182,715",92,31/33,E
5706,三井金属,プライム,鉄鋼・非鉄,非鉄金属,5.91,1082.5,51630,"5,244,100","2,442,470",99,1/33,A
