コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,20日平均出来高,RS,Industry Rank,Grade
4417,グローバルセキュリティエキスパート,グロース,情報通信・サービスその他,情報･通信業,5.69,54.0,3435,"169,100","119,270",88,31/33,E
7384,プロクレアホールディングス,プライム,銀行,銀行業,6.10,182.7,3915,"197,000","160,695",95,2/33,A
268A,リガク・ホールディングス,プライム,電機・精密,精密機器,9.01,306.9,2807,"4,247,400","3,952,910",98,6/33,A
6861,キーエンス,プライム,電機・精密,電気機器,6.56,54.0,80110,"1,485,600","1,091,100",75,3/33,A
3687,フィックスターズ,プライム,情報通信・サービスその他,情報･通信業,21.97,126.3,2704,"8,120,300","1,664,320",95,31/33,E
7564,ワークマン,スタンダード,小売,小売業,5.00,62.2,7980,"590,300","336,675",84,30/33,E
6203,豊和工業,スタンダード,機械,機械,6.77,86.8,1783,"6,707,600","321,910",82,8/33,B
7220,武蔵精密工業,プライム,自動車・輸送機,輸送用機器,18.84,326.8,9460,"4,521,200","2,810,815",99,9/33,B
1811,錢高組,スタンダード,建設・資材,建設業,7.88,112.7,8630,"5,300","3,855",92,13/33,B
6479,ミネベアミツミ,プライム,電機・精密,電気機器,6.69,145.0,4562,"5,338,600","2,836,090",94,3/33,A
4419,Ｆｉｎａｔｅｘｔホールディングス,グロース,情報通信・サービスその他,情報･通信業,7.06,75.4,1349,"964,600","721,840",88,31/33,E
4443,Ｓａｎｓａｎ,プライム,情報通信・サービスその他,情報･通信業,8.04,64.1,1679,"2,553,400","1,600,375",85,31/33,E
4061,デンカ,プライム,素材・化学,化学,11.09,147.2,4477,"2,406,700","1,068,240",94,14/33,B
5471,大同特殊鋼,プライム,鉄鋼・非鉄,鉄鋼,6.26,125.3,2078,"1,728,900","971,820",89,16/33,C
9551,メタウォーター,プライム,電気・ガス,電気･ガス業,9.38,76.8,3555,"376,000","173,030",83,17/33,C
6993,大黒屋ホールディングス,スタンダード,小売,小売業,28.24,445.0,109,"54,144,700","7,569,605",99,30/33,E
3156,レスター,プライム,商社・卸売,卸売業,5.45,86.7,4065,"158,300","100,200",90,20/33,C
319A,技術承継機構,グロース,建設・資材,金属製品,12.98,315.8,18110,"51,200","47,115",98,21/33,D
4800,オリコン,スタンダード,情報通信・サービスその他,情報･通信業,14.73,80.8,1332,"2,147,900","176,220",94,31/33,E
6963,ローム,プライム,電機・精密,電気機器,7.48,298.6,5458,"7,891,900","7,021,550",99,3/33,A
6464,ツバキ・ナカシマ,プライム,機械,機械,6.19,51.1,429,"4,775,800","864,170",67,8/33,B
4664,アール・エス・シー,スタンダード,情報通信・サービスその他,サービス業,5.22,76.0,887,"72,100","35,290",88,28/33,E
6250,やまびこ,プライム,機械,機械,5.81,99.7,3915,"241,200","110,800",85,8/33,B
