コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,10日平均出来高,RS,Industry Rank,Grade
8081,カナデン,プライム,商社・卸売,卸売業,6.86,72.1,2586,"111,000","58,130",87,21/33,D
6366,千代田化工建設,スタンダード,建設・資材,建設業,8.57,168.5,811,"8,265,700","7,872,650",70,9/33,B
3741,セック,プライム,情報通信・サービスその他,情報･通信業,6.68,93.8,4150,"333,900","222,130",84,31/33,E
6526,ソシオネクスト,プライム,電機・精密,電気機器,6.37,69.2,2897,"14,348,100","12,154,690",91,3/33,A
6666,リバーエレテック,スタンダード,電機・精密,電気機器,26.01,299.9,1434,"1,573,000","293,840",99,3/33,A
4259,エクサウィザーズ,グロース,情報通信・サービスその他,情報･通信業,7.50,295.9,1362,"5,752,400","4,109,990",99,31/33,E
6994,指月電機製作所,スタンダード,電機・精密,電気機器,11.45,181.6,1061,"918,500","600,560",95,3/33,A
4183,三井化学,プライム,素材・化学,化学,5.93,48.0,2172,"3,703,900","3,665,100",62,15/33,C
5074,テスホールディングス,プライム,建設・資材,建設業,9.66,342.4,1306,"7,371,800","5,978,790",99,9/33,B
7003,三井Ｅ＆Ｓ,プライム,機械,機械,7.45,134.4,4945,"5,053,200","4,412,510",70,8/33,B
5367,ニッカトー,スタンダード,建設・資材,ガラス･土石製品,19.76,83.8,909,"589,800","142,540",84,7/33,A
1944,きんでん,プライム,建設・資材,建設業,5.87,100.4,7197,"780,200","771,890",86,9/33,B
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース,情報通信・サービスその他,情報･通信業,6.07,134.5,1923,"6,979,600","3,833,420",88,31/33,E
9271,和心,グロース,小売,小売業,9.71,165.7,1153,"97,400","55,430",91,32/33,E
7717,ブイ・テクノロジー,プライム,電機・精密,精密機器,11.52,162.3,5810,"382,300","343,540",96,6/33,A
6997,日本ケミコン,プライム,電機・精密,電気機器,20.80,308.9,4065,"1,168,700","1,062,990",99,3/33,A
6817,スミダコーポレーション,プライム,電機・精密,電気機器,5.07,60.9,1450,"412,500","227,970",82,3/33,A
4369,トリケミカル研究所,プライム,素材・化学,化学,7.57,51.8,3765,"843,600","665,180",70,15/33,C
6996,ニチコン,プライム,電機・精密,電気機器,8.94,233.1,3655,"2,295,900","1,126,980",97,3/33,A
6962,大真空,プライム,電機・精密,電気機器,18.43,109.9,964,"650,200","357,490",93,3/33,A
7859,アルメディオ,スタンダード,情報通信・サービスその他,その他製品,7.37,105.1,306,"1,392,100","579,210",84,25/33,D
4099,四国化成ホールディングス,プライム,素材・化学,化学,6.91,247.1,6340,"291,800","275,160",96,15/33,C
6998,日本タングステン,スタンダード,電機・精密,電気機器,10.31,82.1,2087,"77,700","42,930",81,3/33,A
4255,ＴＨＥＣＯＯ,グロース,情報通信・サービスその他,情報･通信業,7.25,308.6,2750,"12,000","11,940",97,31/33,E
6882,三社電機製作所,スタンダード,電機・精密,電気機器,9.51,99.9,1508,"401,200","273,780",93,3/33,A
3201,日本毛織,プライム,素材・化学,繊維製品,6.89,43.8,1938,"730,700","209,620",64,16/33,C
8050,セイコーグループ,プライム,電機・精密,精密機器,7.15,252.9,6740,"351,400","311,390",96,6/33,A
6597,ＨＰＣシステムズ,グロース,電機・精密,電気機器,13.35,224.8,3820,"536,000","107,950",98,3/33,A
4078,堺化学工業,プライム,素材・化学,化学,17.75,69.8,4080,"984,500","187,380",83,15/33,C
6143,ソディック,プライム,機械,機械,8.21,133.7,1871,"871,400","811,110",93,8/33,B
6072,地盤ネットホールディングス,スタンダード,情報通信・サービスその他,サービス業,9.65,777.2,1307,"1,728,100","1,199,590",99,29/33,E
6762,ＴＤＫ,プライム,電機・精密,電気機器,10.24,153.1,3715,"20,639,200","11,370,930",96,3/33,A
5985,サンコール,スタンダード,建設・資材,金属製品,7.11,600.4,1973,"1,857,800","1,505,960",99,19/33,C
2693,ＹＫＴ,スタンダード,商社・卸売,卸売業,15.50,99.5,447,"2,815,300","881,220",96,21/33,D
280A,ＴＭＨ,グロース,商社・卸売,卸売業,20.83,162.7,2320,"385,300","126,530",93,21/33,D
4275,カーリット,プライム,素材・化学,化学,5.73,130.1,2362,"467,200","414,280",89,15/33,C
7726,黒田精工,スタンダード,機械,機械,9.43,52.8,1300,"54,100","32,280",83,8/33,B
3101,東洋紡,プライム,素材・化学,化学,5.23,98.0,1671,"1,312,900","917,320",86,15/33,C
153A,カウリス,グロース,情報通信・サービスその他,情報･通信業,10.98,120.8,2142,"188,900","139,640",96,31/33,E
464A,ＱＰＳホールディングス,グロース,情報通信・サービスその他,情報･通信業,5.50,155.7,3930,"3,788,800","2,530,350",97,31/33,E
6614,シキノハイテック,スタンダード,電機・精密,電気機器,5.90,77.9,1149,"225,200","170,390",65,3/33,A
281A,インフォメティス,グロース,情報通信・サービスその他,情報･通信業,11.18,187.8,895,"1,158,600","778,070",99,31/33,E
1942,関電工,プライム,建設・資材,建設業,7.98,135.2,6442,"1,278,200","1,170,500",91,9/33,B
6952,カシオ計算機,プライム,電機・精密,電気機器,6.07,72.6,1722,"3,732,400","2,158,050",80,3/33,A
3652,ディジタルメディアプロフェッショナル,グロース,情報通信・サービスその他,情報･通信業,8.36,106.3,3695,"113,200","84,870",96,31/33,E
6981,村田製作所,プライム,電機・精密,電気機器,11.19,299.5,7928,"36,000,700","13,336,550",99,3/33,A
6723,ルネサスエレクトロニクス,プライム,電機・精密,電気機器,6.26,161.9,4297,"21,782,700","18,765,330",94,3/33,A
9165,クオルテック,グロース,情報通信・サービスその他,サービス業,9.38,84.0,2193,"158,800","49,460",93,29/33,E
6768,タムラ製作所,プライム,電機・精密,電気機器,15.77,158.8,1101,"3,013,200","1,290,300",96,3/33,A
6724,セイコーエプソン,プライム,電機・精密,電気機器,13.70,64.0,2876,"4,546,700","2,274,430",88,3/33,A
4047,関東電化工業,プライム,素材・化学,化学,8.72,316.4,3305,"1,463,500","1,020,730",98,15/33,C
186A,アストロスケールホールディングス,グロース,情報通信・サービスその他,サービス業,14.63,361.6,2696,"32,097,300","14,694,920",99,29/33,E
6327,北川精機,スタンダード,機械,機械,17.19,476.5,3415,"867,700","448,060",99,8/33,B
3997,トレードワークス,スタンダード,情報通信・サービスその他,情報･通信業,9.06,202.2,349,"1,126,600","443,700",70,31/33,E
4100,戸田工業,スタンダード,素材・化学,化学,17.12,86.1,1751,"340,100","44,960",84,15/33,C
6969,松尾電機,スタンダード,電機・精密,電気機器,19.61,345.8,2269,"227,100","76,170",99,3/33,A
6506,安川電機,プライム,電機・精密,電気機器,6.08,169.0,7481,"6,412,300","6,184,430",94,3/33,A
6574,コンヴァノ,グロース,情報通信・サービスその他,サービス業,11.11,466.1,110,"4,637,100","2,599,880",70,29/33,E
4188,三菱ケミカルグループ,プライム,素材・化学,化学,6.03,53.2,1090,"10,479,300","9,839,950",74,15/33,C
6840,ＡＫＩＢＡホールディングス,スタンダード,電機・精密,電気機器,27.15,480.6,1405,"1,981,800","930,400",99,3/33,A
4092,日本化学工業,プライム,素材・化学,化学,17.93,150.9,4605,"289,300","204,150",94,15/33,C
6376,日機装,プライム,電機・精密,精密機器,7.64,208.7,3450,"851,000","451,140",95,6/33,A
