コード,銘柄名,前日比(%),終値(円),当日出来高,25日平均出来高
1332,ニッスイ,10.97,1316,"4,994,000","1,339,260"
2264,森永乳業,9.52,4670,"1,626,000","422,356"
2270,雪印メグミルク,6.92,3320,"900,500","172,188"
2325,ＮＪＳ,5.91,4835,"62,700","24,640"
2975,スター・マイカ・ホールディングス,5.52,1741,"373,500","227,468"
3002,グンゼ,6.42,3815,"569,600","219,452"
3099,三越伊勢丹ホールディングス,5.09,3363,"4,796,500","1,681,496"
3106,倉敷紡績,6.63,10130,"71,400","38,164"
3284,フージャースホールディングス,5.75,1251,"565,700","166,328"
3673,ブロードリーフ,13.06,952,"1,327,300","455,884"
3708,特種東海製紙,8.81,1753,"144,700","45,024"
3932,アカツキ,8.63,2946,"383,300","59,624"
3941,レンゴー,11.33,1385,"4,157,000","961,628"
4005,住友化学,10.77,604,"58,303,900","10,180,008"
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,5.59,1057,"5,755,700","1,572,336"
4183,三井化学,8.43,2168,"6,299,100","3,068,636"
4246,ダイキョーニシカワ,16.74,1046,"1,593,800","309,200"
4401,ＡＤＥＫＡ,10.21,4555,"2,150,100","394,592"
4471,三洋化成工業,8.38,5560,"160,800","56,480"
4506,住友ファーマ,5.09,1734,"14,480,100","13,544,296"
4521,科研製薬,5.36,4225,"262,700","111,128"
4968,荒川化学工業,7.25,1390,"188,300","42,644"
5232,住友大阪セメント,12.29,5180,"1,076,200","247,008"
5288,アジアパイルホールディングス,15.86,1644,"871,000","128,852"
5301,東海カーボン,18.46,1585,"8,896,200","1,590,880"
5423,東京製鐵,8.41,1844,"1,307,500","748,672"
5463,丸一鋼管,20.09,1793,"1,485,200","432,008"
5471,大同特殊鋼,5.51,1972,"1,144,400","696,692"
5702,大紀アルミニウム工業所,11.48,1787,"1,315,400","235,676"
5757,ＣＫサンエツ,16.55,4930,"11,100","9,128"
5975,東プレ,5.01,2555,"177,800","84,352"
6194,アトラエ,8.59,746,"312,600","61,692"
6278,ユニオンツール,21.79,22360,"441,300","396,312"
6284,日精エー・エス・ビー機械,11.72,9150,"171,000","29,824"
6298,ワイエイシイホールディングス,18.11,1441,"1,356,700","172,628"
6339,新東工業,15.12,1142,"557,000","111,984"
6371,椿本チエイン,14.48,2798,"716,300","136,616"
6507,シンフォニアテクノロジー,6.52,15680,"649,600","164,220"
6590,芝浦メカトロニクス,12.62,5710,"5,346,800","1,976,004"
6594,ニデック,10.35,2687,"18,041,000","6,533,888"
6619,ダブル・スコープ,6.92,278,"4,075,900","2,975,552"
6707,サンケン電気,5.73,9185,"218,100","139,380"
6723,ルネサスエレクトロニクス,7.80,3854,"28,673,600","17,236,128"
6744,能美防災,5.12,4520,"206,500","97,992"
6745,ホーチキ,8.34,2130,"471,700","251,760"
6845,アズビル,9.96,1546,"4,655,300","1,176,484"
6871,日本マイクロニクス,14.28,16570,"3,123,500","886,936"
6914,オプテックスグループ,22.12,3865,"320,100","128,312"
6963,ローム,8.92,4357,"14,265,800","5,076,696"
6976,太陽誘電,5.59,6910,"4,989,600","3,940,580"
6997,日本ケミコン,7.39,3415,"1,043,000","799,488"
6999,ＫＯＡ,6.99,2113,"919,900","607,616"
7157,ライフネット生命保険,7.20,1801,"619,500","328,472"
7180,九州フィナンシャルグループ,5.25,1404,"3,280,000","1,225,236"
7269,スズキ,6.19,1920,"15,637,500","8,777,384"
7508,Ｇ‐７ホールディングス,7.07,1378,"187,200","55,844"
7637,白銅,6.29,3210,"185,700","18,764"
7731,ニコン,8.64,2326,"4,640,400","2,335,932"
7734,理研計器,7.70,3635,"326,000","117,880"
7735,ＳＣＲＥＥＮホールディングス,8.83,12205,"6,055,300","2,102,216"
7762,シチズン時計,7.97,2263,"3,866,300","969,176"
7868,広済堂ホールディングス,5.59,737,"4,717,300","2,111,208"
7915,ＮＩＳＳＨＡ,5.57,1534,"562,100","215,508"
7944,ローランド,6.71,4450,"293,000","96,744"
7990,グローブライド,10.96,2420,"487,100","82,956"
8007,高島,12.19,773,"995,500","120,184"
8051,山善,6.31,1668,"599,600","250,764"
8081,カナデン,6.45,2659,"112,000","41,848"
8151,東陽テクニカ,5.61,1881,"361,000","87,932"
8370,紀陽銀行,5.42,4475,"252,300","125,896"
8551,北日本銀行,5.93,5270,"67,400","23,544"
8818,京阪神ビルディング,6.12,2253,"307,900","84,888"
9007,小田急電鉄,9.26,1706,"3,951,400","1,057,056"
9069,センコーグループホールディングス,8.46,2006,"701,300","289,040"
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,5.16,4588,"2,526,100","1,289,112"
9336,大栄環境,7.12,3985,"358,000","145,072"
9341,ＧＥＮＯＶＡ,8.66,590,"376,400","44,036"
9517,イーレックス,5.60,962,"758,500","613,328"
9519,レノバ,6.72,1302,"3,271,700","1,784,264"
9997,ベルーナ,6.13,935,"995,500","395,096"
