コード,銘柄名,前日比(%),終値(円),当日出来高,25日平均出来高
7205,日野自動車,8.63,365,"15,915,400","8,183,220"
7215,ファルテック,12.41,453,"214,600","10,630"
7267,本田技研工業,8.33,1430,"54,232,300","21,640,030"
7270,ＳＵＢＡＲＵ,6.89,2568,"18,708,400","4,779,120"
7272,ヤマハ発動機,13.68,1326,"28,617,000","6,183,480"
7376,ＢＣＣ,8.29,1215,"65,400","58,910"
7456,松田産業,5.71,7770,"319,900","165,640"
7462,ＣＡＰＩＴＡ,9.08,625,"39,400","8,750"
7695,交換できるくん,6.94,755,"44,100","8,680"
7713,シグマ光機,5.12,2114,"112,400","66,530"
7769,リズム,5.85,3620,"104,500","31,770"
7779,ＣＹＢＥＲＤＹＮＥ,11.15,309,"5,772,700","1,372,350"
7859,アルメディオ,8.49,294,"2,157,700","366,690"
7956,ピジョン,7.23,1855,"3,355,000","1,211,060"
7980,重松製作所,10.62,1010,"129,500","63,720"
8088,岩谷産業,11.47,2113,"3,783,300","906,180"
8132,シナネンホールディングス,9.62,7980,"16,600","11,650"
8147,トミタ,17.48,1391,"43,300","2,960"
8157,都築電気,9.72,3950,"144,400","26,280"
8362,福井銀行,5.20,4450,"195,300","90,920"
8508,Ｊトラスト,6.63,708,"2,360,300","1,025,380"
8750,第一生命ホールディングス,7.87,1618,"19,665,600","8,243,570"
8871,ゴールドクレスト,10.94,3650,"147,400","29,450"
8876,リログループ,7.36,2034,"1,246,200","354,240"
9074,日本石油輸送,5.38,5480,"5,000","2,900"
9075,福山通運,10.55,5870,"488,100","74,800"
9087,タカセ,7.69,2240,"2,300","1,380"
9145,ビーイングホールディングス,6.66,625,"138,800","19,990"
9245,リベロ,6.17,1911,"20,600","3,900"
9256,サクシード,21.07,1724,"135,900","39,180"
9271,和心,12.96,950,"129,200","35,080"
9336,大栄環境,7.90,4300,"470,200","171,610"
9337,トリドリ,15.87,1730,"136,500","27,240"
9444,トーシンホールディングス,29.07,222,"618,800","120,800"
9658,ビジネスブレイン太田昭和,5.68,968,"164,400","70,040"
9684,スクウェア・エニックス・ホールディングス,7.19,2654,"3,751,300","1,234,010"
9843,ニトリホールディングス,6.62,2415,"10,970,300","5,094,690"
9880,イノテック,14.80,3840,"809,200","245,980"
9913,日邦産業,5.53,4390,"74,300","11,650"
9934,因幡電機産業,5.52,2829,"463,800","193,330"
9960,東テク,6.34,4025,"155,300","80,250"
9987,スズケン,5.82,5311,"354,300","179,590"
