コード,銘柄名,前日比(%),終値(円),当日出来高,25日平均出来高
142A,ジンジブ,6.24,800,"46,700","9,292"
1436,グリーンエナジー＆カンパニー,6.62,1853,"318,000","176,452"
150A,ＪＳＨ,5.00,357,"5,300","3,148"
155A,情報戦略テクノロジー,20.30,889,"217,900","39,064"
1711,ＳＤＳホールディングス,5.56,266,"359,400","139,180"
1736,オーテック,11.63,2515,"37,700","3,624"
1860,戸田建設,8.32,1492,"2,468,900","841,516"
1926,ライト工業,8.05,4095,"490,800","132,592"
1960,サンテック,5.99,1504,"91,000","70,264"
1963,日揮ホールディングス,13.29,2710,"6,228,100","2,969,788"
1975,朝日工業社,12.48,4145,"395,400","91,296"
1979,大氣社,6.87,3735,"567,300","143,008"
2130,メンバーズ,6.86,1169,"554,100","82,872"
2179,成学社,7.19,790,"6,800","1,280"
2326,デジタルアーツ,5.21,4240,"376,800","188,940"
2475,ＷＤＢホールディングス,14.75,1704,"205,200","17,336"
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,13.50,12190,"2,123,900","1,479,220"
2820,やまみ,7.32,3810,"33,900","15,128"
2874,横浜冷凍,15.02,1983,"440,700","143,816"
300A,ＭＩＣ,13.29,2950,"101,600","23,592"
3034,クオールホールディングス,12.54,1930,"574,400","125,624"
3106,倉敷紡績,14.02,11550,"110,700","39,952"
3156,レスター,12.50,3465,"261,700","51,532"
3182,オイシックス・ラ・大地,7.70,1510,"274,500","101,088"
3277,サンセイランディック,5.08,1385,"18,300","6,012"
3350,メタプラネット,6.15,328,"49,529,000","26,884,136"
336A,ダイナミックマッププラットフォーム,8.89,747,"1,174,800","178,132"
3465,ケイアイスター不動産,13.82,3500,"392,000","155,004"
3551,ダイニック,25.41,1298,"255,300","14,840"
3611,マツオカコーポレーション,13.48,2366,"210,500","33,004"
3656,ＫＬａｂ,15.55,275,"24,671,600","12,084,728"
366A,ウェルネス・コミュニケーションズ,16.18,1077,"289,100","39,152"
3683,サイバーリンクス,8.55,1066,"194,900","22,300"
3687,フィックスターズ,13.68,1554,"1,654,600","476,784"
3723,日本ファルコム,5.13,2520,"34,700","14,604"
378A,ヒット,8.67,2456,"75,900","28,448"
3803,イメージ情報開発,6.21,599,"113,600","70,460"
3810,サイバーステップホールディングス,8.70,375,"8,538,400","2,690,828"
3853,アステリア,8.70,1524,"1,235,800","969,996"
3864,三菱製紙,8.73,1009,"730,100","248,820"
3905,データセクション,9.03,2343,"2,238,800","1,453,100"
3907,シリコンスタジオ,9.43,952,"1,333,100","19,044"
3928,マイネット,6.42,282,"49,000","20,344"
3935,エディア,5.03,647,"117,100","94,740"
4040,南海化学,22.65,3790,"84,400","6,784"
4056,ニューラルグループ,5.47,270,"107,500","65,240"
4255,ＴＨＥＣＯＯ,21.91,2226,"11,900","1,976"
431A,ユーソナー,7.38,2111,"116,500","43,056"
4320,ＣＥホールディングス,25.02,1499,"31,800","23,148"
4350,メディカルシステムネットワーク,5.90,485,"245,500","45,156"
4351,山田再生系債権回収総合事務所,28.85,1340,"55,600","41,952"
4377,ワンキャリア,10.26,1870,"292,000","82,972"
