コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,10日平均出来高,RS,Industry Rank,Grade
9941,太洋物産,スタンダード,商社・卸売,卸売業,8.89,88.9,1139,"135,700","116,550",89,20/33,C
6976,太陽誘電,プライム,電機・精密,電気機器,11.75,316.4,9102,"8,656,600","5,565,170",99,3/33,A
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース,情報通信・サービスその他,情報･通信業,19.20,121.1,1813,"9,088,500","3,213,070",88,31/33,E
6335,東京機械製作所,スタンダード,機械,機械,7.04,72.2,639,"101,700","65,890",88,12/33,B
3558,ジェイドグループ,グロース,小売,小売業,5.40,96.0,2264,"184,800","136,050",91,30/33,E
5010,日本精蝋,スタンダード,エネルギー資源,石油･石炭製品,6.17,40.2,258,"255,100","156,820",65,10/33,B
464A,ＱＰＳホールディングス,グロース,情報通信・サービスその他,情報･通信業,8.44,142.4,3725,"3,413,500","2,450,160",97,31/33,E
7779,ＣＹＢＥＲＤＹＮＥ,グロース,電機・精密,精密機器,10.58,82.5,303,"5,280,400","2,233,950",78,5/33,A
4107,伊勢化学工業,スタンダード,素材・化学,化学,7.07,97.1,4695,"427,300","374,050",70,16/33,C
6997,日本ケミコン,プライム,電機・精密,電気機器,15.12,238.5,3365,"2,192,100","969,040",99,3/33,A
8697,日本取引所グループ,プライム,金融（除く銀行）,その他金融業,5.51,41.2,1980,"7,261,200","4,242,420",65,21/33,D
6407,ＣＫＤ,プライム,機械,機械,5.97,214.9,6740,"1,395,200","899,420",96,12/33,B
7213,レシップホールディングス,スタンダード,自動車・輸送機,輸送用機器,5.45,41.7,580,"106,300","71,190",80,13/33,B
6125,岡本工作機械製作所,スタンダード,機械,機械,5.78,37.1,5030,"67,700","67,560",80,12/33,B
8152,ソマール,スタンダード,商社・卸売,卸売業,8.86,64.2,8230,"15,300","13,720",83,20/33,C
6217,津田駒工業,スタンダード,機械,機械,16.10,458.6,1860,"495,900","449,380",99,12/33,B
4960,ケミプロ化成,スタンダード,素材・化学,化学,11.06,160.8,673,"196,200","130,290",70,16/33,C
2962,テクニスコ,スタンダード,建設・資材,金属製品,8.41,345.4,1109,"251,500","250,490",96,17/33,C
277A,グロービング,グロース,情報通信・サービスその他,サービス業,9.94,35.4,2576,"247,000","180,220",89,28/33,E
7885,タカノ,スタンダード,情報通信・サービスその他,その他製品,11.00,73.9,1221,"539,700","49,820",92,25/33,D
7727,オーバル,スタンダード,電機・精密,精密機器,5.69,101.7,799,"195,600","140,080",90,5/33,A
7678,あさくま,スタンダード,小売,小売業,5.01,51.2,6290,"22,400","15,940",84,30/33,E
6666,リバーエレテック,スタンダード,電機・精密,電気機器,15.18,217.4,1138,"468,000","273,760",98,3/33,A
3656,ＫＬａｂ,プライム,情報通信・サービスその他,情報･通信業,6.87,237.7,358,"44,604,000","18,861,670",96,31/33,E
4092,日本化学工業,プライム,素材・化学,化学,6.99,112.8,3905,"232,500","197,050",90,16/33,C
7318,セレンディップ・ホールディングス,グロース,自動車・輸送機,輸送用機器,7.77,474.9,2344,"307,300","288,090",99,13/33,B
2693,ＹＫＴ,スタンダード,商社・卸売,卸売業,13.82,72.8,387,"2,491,200","673,270",94,20/33,C
4588,オンコリスバイオファーマ,グロース,医薬品,医薬品,21.77,442.1,2797,"4,356,600","1,805,870",98,32/33,E
6376,日機装,プライム,電機・精密,精密機器,6.83,186.8,3205,"506,700","429,460",94,5/33,A
6981,村田製作所,プライム,電機・精密,電気機器,5.99,259.3,7130,"20,915,700","12,786,830",99,3/33,A
4047,関東電化工業,プライム,素材・化学,化学,5.92,283.1,3040,"1,172,600","941,520",98,16/33,C
3907,シリコンスタジオ,スタンダード,情報通信・サービスその他,情報･通信業,14.11,123.2,1270,"2,321,800","549,250",97,31/33,E
4259,エクサウィザーズ,グロース,情報通信・サービスその他,情報･通信業,6.65,272.6,1267,"6,080,100","3,708,620",98,31/33,E
5532,リアルゲイト,グロース,不動産,不動産業,7.42,124.1,3765,"49,800","46,170",93,26/33,D
5255,モンスターラボ,グロース,情報通信・サービスその他,情報･通信業,5.88,44.0,108,"921,500","795,960",70,31/33,E
1968,太平電業,プライム,建設・資材,建設業,5.04,70.6,2709,"229,200","192,260",82,15/33,C
7600,日本エム・ディ・エム,プライム,電機・精密,精密機器,12.67,81.4,809,"1,062,800","907,690",94,5/33,A
3103,ユニチカ,プライム,素材・化学,繊維製品,23.55,993.1,1574,"10,056,900","8,328,000",99,19/33,C
9165,クオルテック,グロース,情報通信・サービスその他,サービス業,14.57,68.2,2005,"93,000","67,870",89,28/33,E
6619,ダブル・スコープ,プライム,電機・精密,電気機器,5.25,130.4,341,"6,184,000","3,556,340",96,3/33,A
7713,シグマ光機,スタンダード,電機・精密,精密機器,8.28,68.3,2184,"80,300","66,800",85,5/33,A
9270,バリュエンスホールディングス,グロース,商社・卸売,卸売業,7.72,193.5,2429,"121,500","83,740",95,20/33,C
6254,野村マイクロ・サイエンス,プライム,機械,機械,8.62,151.6,4980,"1,324,800","1,271,690",95,12/33,B
280A,ＴＭＨ,グロース,商社・卸売,卸売業,12.15,117.4,1920,"473,400","91,050",85,20/33,C
3441,山王,スタンダード,建設・資材,金属製品,8.58,184.5,2543,"81,700","77,890",98,17/33,C
9405,朝日放送グループホールディングス,プライム,情報通信・サービスその他,情報･通信業,8.33,33.8,845,"237,800","78,510",68,31/33,E
6140,旭ダイヤモンド工業,プライム,機械,機械,6.82,101.1,1362,"1,172,400","1,120,410",87,12/33,B
3853,アステリア,プライム,情報通信・サービスその他,情報･通信業,12.41,401.8,2410,"5,845,100","1,674,250",99,31/33,E
7375,リファインバースグループ,グロース,情報通信・サービスその他,サービス業,14.50,181.6,2030,"768,300","256,880",98,28/33,E
6518,三相電機,スタンダード,電機・精密,電気機器,13.79,210.1,2384,"94,400","50,180",98,3/33,A
