コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,10日平均出来高,RS,Industry Rank,Grade
6762,ＴＤＫ,プライム,電機・精密,電気機器,7.29,129.6,3370,"14,032,900","11,397,610",96,3/33,A
6864,エヌエフホールディングス,スタンダード,電機・精密,電気機器,17.42,75.5,1833,"430,500","77,280",88,3/33,A
3480,ジェイ・エス・ビー,プライム,不動産,不動産業,5.22,95.3,6250,"143,400","55,560",96,26/33,D
1948,弘電社,スタンダード,建設・資材,建設業,6.22,274.7,7510,"93,500","63,940",96,15/33,C
5384,フジミインコーポレーテッド,プライム,建設・資材,ガラス･土石製品,12.92,110.0,3670,"811,700","628,630",89,7/33,A
3905,データセクション,グロース,情報通信・サービスその他,情報･通信業,17.07,556.6,4800,"5,125,700","3,351,940",99,31/33,E
3891,ニッポン高度紙工業,スタンダード,素材・化学,パルプ・紙,10.47,351.4,7490,"235,500","138,600",99,24/33,D
9984,ソフトバンクグループ,プライム,情報通信・サービスその他,情報･通信業,11.89,268.4,6757,"103,280,800","65,417,750",99,31/33,E
5885,ジーデップ・アドバンス,スタンダード,商社・卸売,卸売業,6.85,64.6,3120,"70,200","38,510",84,20/33,C
6383,ダイフク,プライム,機械,機械,6.75,106.1,7153,"2,671,100","2,602,120",87,12/33,B
3687,フィックスターズ,プライム,情報通信・サービスその他,情報･通信業,25.48,64.9,1970,"3,259,100","781,020",78,31/33,E
157A,グリーンモンスター,グロース,情報通信・サービスその他,サービス業,10.86,92.4,949,"110,100","77,280",77,28/33,E
6613,ＱＤレーザ,グロース,電機・精密,電気機器,19.23,1309.1,3100,"22,249,700","16,465,040",99,3/33,A
5310,東洋炭素,プライム,建設・資材,ガラス･土石製品,8.07,101.6,7630,"422,400","170,320",91,7/33,A
6361,荏原製作所,プライム,機械,機械,8.26,153.9,5452,"4,302,300","3,514,920",93,12/33,B
5803,フジクラ,プライム,鉄鋼・非鉄,非鉄金属,7.75,412.6,4850,"105,386,700","84,871,630",99,2/33,A
5985,サンコール,スタンダード,建設・資材,金属製品,15.85,553.9,1842,"1,597,800","1,561,840",99,17/33,C
6779,日本電波工業,プライム,電機・精密,電気機器,14.40,272.5,2511,"1,433,500","1,279,240",99,3/33,A
3776,ブロードバンドタワー,スタンダード,情報通信・サービスその他,情報･通信業,5.49,101.3,269,"1,444,600","481,080",90,31/33,E
6327,北川精機,スタンダード,機械,機械,20.71,391.9,2914,"592,400","474,190",99,12/33,B
5998,アドバネクス,スタンダード,建設・資材,金属製品,12.78,192.9,2242,"39,500","18,670",95,17/33,C
2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード,情報通信・サービスその他,情報･通信業,7.86,63.3,974,"313,400","159,650",83,31/33,E
9369,キユーソー流通システム,スタンダード,運輸・物流,倉庫･運輸関連業,5.91,93.0,3585,"277,700","77,360",90,8/33,B
