コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,10日平均出来高,RS,Industry Rank,Grade
3905,データセクション,グロース,情報通信・サービスその他,情報･通信業,5.12,545.7,4720,"5,811,800","3,503,260",99,30/33,E
4098,チタン工業,スタンダード,素材・化学,化学,8.87,71.4,1264,"336,300","58,690",79,13/33,B
5816,オーナンバ,スタンダード,鉄鋼・非鉄,非鉄金属,7.03,98.7,1857,"68,200","33,350",89,1/33,A
5998,アドバネクス,スタンダード,建設・資材,金属製品,5.47,237.8,2585,"38,200","25,330",97,19/33,C
3997,トレードワークス,スタンダード,情報通信・サービスその他,情報･通信業,22.92,271.5,429,"2,330,000","470,220",70,30/33,E
4100,戸田工業,スタンダード,素材・化学,化学,9.77,104.3,1922,"473,000","74,390",89,13/33,B
9984,ソフトバンクグループ,プライム,情報通信・サービスその他,情報･通信業,10.91,327.5,7841,"111,528,500","68,506,810",99,30/33,E
7719,東京衡機,スタンダード,電機・精密,精密機器,8.84,145.1,554,"965,900","263,830",96,7/33,A
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース,情報通信・サービスその他,情報･通信業,6.45,149.6,2047,"4,550,000","4,228,960",92,30/33,E
3856,Ａｂａｌａｎｃｅ,スタンダード,電機・精密,電気機器,8.98,55.4,558,"1,148,300","109,060",74,3/33,A
6966,三井ハイテック,プライム,電機・精密,電気機器,13.52,53.4,865,"9,156,200","1,698,350",63,3/33,A
6335,東京機械製作所,スタンダード,機械,機械,7.73,87.9,697,"109,300","77,530",91,10/33,B
2332,クエスト,スタンダード,情報通信・サービスその他,情報･通信業,11.10,60.5,2012,"219,900","85,670",85,30/33,E
6356,日本ギア工業,スタンダード,機械,機械,11.54,265.3,1740,"661,400","388,460",98,10/33,B
2585,ライフドリンク　カンパニー,プライム,食品,食料品,6.10,74.2,1635,"1,527,000","1,429,080",75,28/33,E
3687,フィックスターズ,プライム,情報通信・サービスその他,情報･通信業,6.25,70.7,2040,"3,781,700","1,772,430",79,30/33,E
7711,助川電気工業,スタンダード,電機・精密,精密機器,9.04,213.9,5910,"220,200","80,420",70,7/33,A
6859,エスペック,プライム,電機・精密,電気機器,6.69,56.6,3825,"248,100","106,090",80,3/33,A
2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード,情報通信・サービスその他,情報･通信業,6.67,74.2,1039,"407,100","205,160",87,30/33,E
6327,北川精機,スタンダード,機械,機械,5.42,507.7,3600,"918,700","456,990",99,10/33,B
6994,指月電機製作所,スタンダード,電機・精密,電気機器,7.63,203.0,1142,"765,500","641,620",96,3/33,A
7012,川崎重工業,プライム,自動車・輸送機,輸送用機器,5.26,95.5,3362,"20,836,300","18,448,690",83,12/33,B
5367,ニッカトー,スタンダード,建設・資材,ガラス･土石製品,12.87,107.4,1026,"1,742,600","182,970",89,6/33,A
3907,シリコンスタジオ,スタンダード,情報通信・サービスその他,情報･通信業,23.25,240.1,1935,"1,953,100","785,240",99,30/33,E
7806,ＭＴＧ,グロース,情報通信・サービスその他,その他製品,8.92,110.0,6960,"255,800","227,510",92,26/33,D
4293,セプテーニ・ホールディングス,スタンダード,情報通信・サービスその他,サービス業,7.27,49.1,546,"1,996,800","1,069,150",85,29/33,E
5915,駒井ハルテック,スタンダード,建設・資材,金属製品,5.25,53.6,2265,"36,500","28,360",76,19/33,C
2780,コメ兵ホールディングス,スタンダード,小売,小売業,6.25,125.3,5950,"134,900","119,460",91,31/33,E
6723,ルネサスエレクトロニクス,プライム,電機・精密,電気機器,6.80,179.7,4589,"23,059,700","19,103,700",95,3/33,A
6946,日本アビオニクス,スタンダード,電機・精密,電気機器,12.01,98.5,6530,"535,800","325,630",91,3/33,A
4082,第一稀元素化学工業,プライム,素材・化学,化学,7.11,257.6,2169,"644,700","497,200",70,13/33,B
464A,ＱＰＳホールディングス,グロース,情報通信・サービスその他,情報･通信業,6.87,173.3,4200,"3,107,500","2,642,890",98,30/33,E
7725,インターアクション,プライム,電機・精密,精密機器,5.02,93.5,2132,"265,400","147,230",92,7/33,A
6584,三櫻工業,プライム,自動車・輸送機,輸送用機器,7.57,52.1,853,"1,351,300","847,250",81,12/33,B
9119,飯野海運,プライム,運輸・物流,海運業,6.61,70.5,1580,"1,269,600","305,310",80,5/33,A
4028,石原産業,プライム,素材・化学,化学,5.58,80.2,2951,"756,000","696,070",70,13/33,B
6597,ＨＰＣシステムズ,グロース,電機・精密,電気機器,9.95,251.5,4200,"380,000","144,860",98,3/33,A
3480,ジェイ・エス・ビー,プライム,不動産,不動産業,8.70,114.7,6870,"134,800","69,730",97,24/33,D
3853,アステリア,プライム,情報通信・サービスその他,情報･通信業,17.92,472.6,2750,"6,438,500","3,125,020",99,30/33,E
8151,東陽テクニカ,プライム,商社・卸売,卸売業,13.98,67.7,2177,"769,200","151,560",85,20/33,C
6331,三菱化工機,プライム,機械,機械,8.60,198.3,3790,"501,700","388,200",97,10/33,B
2488,ＪＴＰ,スタンダード,情報通信・サービスその他,サービス業,5.51,41.2,1494,"176,500","36,430",82,29/33,E
1945,東京エネシス,プライム,建設・資材,建設業,7.35,133.3,2643,"624,100","614,390",95,8/33,B
4092,日本化学工業,プライム,素材・化学,化学,10.97,178.5,5110,"1,503,600","206,530",95,13/33,B
7727,オーバル,スタンダード,電機・精密,精密機器,6.53,113.6,848,"325,900","151,880",92,7/33,A
1950,日本電設工業,プライム,建設・資材,建設業,6.29,100.6,4560,"251,200","120,160",84,8/33,B
4588,オンコリスバイオファーマ,グロース,医薬品,医薬品,6.21,579.3,3505,"3,759,200","2,179,670",99,32/33,E
2338,クオンタムソリューションズ,スタンダード,情報通信・サービスその他,情報･通信業,32.05,119.1,206,"427,000","288,750",63,30/33,E
4392,ＦＩＧ,プライム,情報通信・サービスその他,情報･通信業,17.67,906.9,2571,"22,645,100","13,506,490",99,30/33,E
7213,レシップホールディングス,スタンダード,自動車・輸送機,輸送用機器,5.32,54.8,634,"88,100","61,990",87,12/33,B
7220,武蔵精密工業,プライム,自動車・輸送機,輸送用機器,10.71,207.7,6820,"2,881,400","2,659,000",99,12/33,B
1812,鹿島建設,プライム,建設・資材,建設業,5.37,75.8,5960,"3,365,900","3,025,730",82,8/33,B
147A,ソラコム,グロース,情報通信・サービスその他,情報･通信業,9.09,35.0,1080,"219,200","111,730",69,30/33,E
2693,ＹＫＴ,スタンダード,商社・卸売,卸売業,16.33,132.1,520,"4,139,000","1,146,900",98,20/33,C
280A,ＴＭＨ,グロース,商社・卸売,卸売業,20.65,217.0,2799,"998,400","153,890",96,20/33,C
6779,日本電波工業,プライム,電機・精密,電気機器,5.97,374.0,3195,"3,903,100","1,209,020",99,3/33,A
1952,新日本空調,プライム,建設・資材,建設業,6.82,71.3,3525,"270,700","262,940",81,8/33,B
7721,東京計器,プライム,電機・精密,精密機器,5.59,121.3,6800,"460,100","390,200",70,7/33,A
