Rank,Grade,Industry(Sector33),Sector(17),RS,Median Raw,Count
1,A,銀行業,銀行,98,22.84,79
2,A,非鉄金属,鉄鋼・非鉄,96,20.39,33
3,A,電気機器,電機・精密,92,15.42,227
4,A,鉱業,エネルギー資源,90,14.89,5
5,A,精密機器,電機・精密,86,12.68,51
6,A,海運業,運輸・物流,84,12.54,11
7,A,ガラス･土石製品,建設・資材,80,9.73,50
8,B,倉庫･運輸関連業,運輸・物流,78,7.93,31
9,B,保険業,金融（除く銀行）,74,7.92,13
10,B,石油･石炭製品,エネルギー資源,72,7.61,9
11,B,証券･商品先物取引業,金融（除く銀行）,68,7.6,36
12,B,機械,機械,66,7.56,211
13,B,輸送用機器,自動車・輸送機,62,7.16,85
14,B,電気･ガス業,電気・ガス,60,6.96,28
15,C,建設業,建設・資材,56,6.49,143
16,C,化学,素材・化学,54,6.33,203
17,C,金属製品,建設・資材,50,5.29,86
18,C,鉄鋼,鉄鋼・非鉄,48,5.02,38
19,C,繊維製品,素材・化学,44,4.46,47
20,C,卸売業,商社・卸売,42,4.19,289
21,D,その他金融業,金融（除く銀行）,38,4.01,38
22,D,ゴム製品,自動車・輸送機,36,3.19,17
23,D,陸運業,運輸・物流,32,2.98,57
24,D,パルプ・紙,素材・化学,30,2.7,24
25,D,その他製品,情報通信・サービスその他,26,2.27,105
26,D,不動産業,不動産,24,2.09,131
27,D,水産・農林業,食品,20,1.04,12
28,E,サービス業,情報通信・サービスその他,18,0.54,528
29,E,食料品,食品,14,0.07,123
30,E,小売業,小売,12,0.02,325
31,E,情報･通信業,情報通信・サービスその他,8,-0.07,593
32,E,医薬品,医薬品,6,-0.28,80
33,E,空運業,運輸・物流,2,-4.24,5
