コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,20日平均出来高,RS,Industry Rank,Grade
6590,芝浦メカトロニクス,プライム,電機・精密,電気機器,6.69,271.8,5180,"2,274,000","2,146,315",97,3/33,A
5367,ニッカトー,スタンダード,建設・資材,ガラス･土石製品,15.02,132.3,1149,"2,027,900","389,285",94,7/33,A
4461,第一工業製薬,プライム,素材・化学,化学,7.16,261.7,11220,"345,500","242,100",98,12/33,B
6703,沖電気工業,プライム,電機・精密,電気機器,10.09,181.0,3490,"1,352,900","734,645",95,3/33,A
6327,北川精機,スタンダード,機械,機械,16.28,744.0,5000,"1,309,500","670,530",99,8/33,B
6762,ＴＤＫ,プライム,電機・精密,電気機器,5.21,158.6,3796,"24,725,800","14,543,835",97,3/33,A
7952,河合楽器製作所,プライム,情報通信・サービスその他,その他製品,5.07,38.9,3210,"44,500","23,785",65,24/33,D
6981,村田製作所,プライム,電機・精密,電気機器,9.18,330.2,8538,"46,383,100","16,713,415",99,3/33,A
6616,トレックス・セミコンダクター,プライム,電機・精密,電気機器,14.16,177.4,2895,"671,700","91,805",97,3/33,A
6976,太陽誘電,プライム,電機・精密,電気機器,17.00,488.0,13010,"24,126,600","6,188,290",99,3/33,A
6962,大真空,プライム,電機・精密,電気機器,7.83,106.9,950,"916,200","476,135",93,3/33,A
2334,イオレ,グロース,情報通信・サービスその他,サービス業,5.75,485.2,515,"4,020,200","2,971,395",99,28/33,E
4100,戸田工業,スタンダード,素材・化学,化学,23.23,125.5,2122,"569,300","89,375",94,12/33,B
186A,アストロスケールホールディングス,グロース,情報通信・サービスその他,サービス業,6.46,391.1,2868,"37,132,000","14,093,460",99,28/33,E
4231,タイガースポリマー,スタンダード,素材・化学,化学,6.01,40.8,1023,"115,900","39,650",65,12/33,B
7794,イーディーピー,グロース,情報通信・サービスその他,その他製品,17.37,254.7,1284,"5,140,300","400,925",90,24/33,D
6966,三井ハイテック,プライム,電機・精密,電気機器,6.27,56.4,882,"5,375,300","2,239,685",67,3/33,A
6203,豊和工業,スタンダード,機械,機械,21.90,75.0,1670,"1,544,900","259,465",70,8/33,B
5726,大阪チタニウムテクノロジーズ,プライム,鉄鋼・非鉄,非鉄金属,12.90,96.7,2696,"1,416,700","628,765",79,1/33,A
4078,堺化学工業,プライム,素材・化学,化学,6.80,76.5,4240,"641,700","248,485",85,12/33,B
6072,地盤ネットホールディングス,スタンダード,情報通信・サービスその他,サービス業,7.54,934.2,1541,"3,021,500","1,232,330",99,28/33,E
7713,シグマ光機,スタンダード,電機・精密,精密機器,8.61,82.7,2371,"151,700","70,340",87,5/33,A
4366,ダイトーケミックス,スタンダード,素材・化学,化学,11.89,186.9,593,"2,585,100","152,370",95,12/33,B
5018,ＭＯＲＥＳＣＯ,スタンダード,エネルギー資源,石油･石炭製品,7.96,78.3,2049,"125,100","24,960",80,10/33,B
4092,日本化学工業,プライム,素材・化学,化学,6.07,156.9,4715,"561,700","291,115",95,12/33,B
8289,Ｏｌｙｍｐｉｃグループ,スタンダード,小売,小売業,6.91,160.6,1006,"185,300","89,535",98,30/33,E
6918,アバールデータ,スタンダード,電機・精密,電気機器,5.28,81.9,3490,"42,800","36,895",88,3/33,A
5821,平河ヒューテック,プライム,鉄鋼・非鉄,非鉄金属,6.74,175.1,3640,"209,000","112,820",95,1/33,A
7859,アルメディオ,スタンダード,情報通信・サービスその他,その他製品,9.82,109.7,313,"654,300","535,965",90,24/33,D
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,プライム,建設・資材,金属製品,7.88,170.8,7390,"418,900","348,375",98,19/33,C
7567,栄電子,スタンダード,商社・卸売,卸売業,12.45,42.2,614,"289,400","92,745",80,20/33,C
4027,テイカ,プライム,素材・化学,化学,5.80,99.3,2334,"154,900","94,750",91,12/33,B
147A,ソラコム,グロース,情報通信・サービスその他,情報･通信業,7.19,37.9,1103,"246,800","107,240",72,32/33,E
4028,石原産業,プライム,素材・化学,化学,6.16,84.6,3050,"639,000","565,150",70,12/33,B
3776,ブロードバンドタワー,スタンダード,情報通信・サービスその他,情報･通信業,5.26,93.1,260,"847,500","721,415",88,32/33,E
4420,イーソル,スタンダード,情報通信・サービスその他,情報･通信業,6.21,55.6,718,"228,800","122,905",78,32/33,E
6779,日本電波工業,プライム,電機・精密,電気機器,13.20,376.9,3215,"3,006,200","1,494,690",99,3/33,A
7995,バルカー,プライム,素材・化学,化学,5.33,189.3,8100,"207,300","138,070",97,12/33,B
6994,指月電機製作所,スタンダード,電機・精密,電気機器,5.08,188.6,1096,"645,400","540,720",96,3/33,A
7806,ＭＴＧ,グロース,情報通信・サービスその他,その他製品,6.44,124.5,7440,"210,800","187,755",94,24/33,D
4973,日本高純度化学,プライム,素材・化学,化学,6.42,105.7,5800,"145,100","74,395",89,12/33,B
336A,ダイナミックマッププラットフォーム,グロース,情報通信・サービスその他,情報･通信業,6.23,73.7,938,"900,900","442,055",68,32/33,E
277A,グロービング,グロース,情報通信・サービスその他,サービス業,5.69,38.5,2636,"765,900","184,045",84,28/33,E
7220,武蔵精密工業,プライム,自動車・輸送機,輸送用機器,6.13,259.1,7960,"4,672,800","2,704,940",99,9/33,B
7717,ブイ・テクノロジー,プライム,電機・精密,精密機器,8.59,114.3,5940,"333,000","327,660",92,5/33,A
6997,日本ケミコン,プライム,電機・精密,電気機器,13.32,340.6,4380,"2,223,900","1,130,290",99,3/33,A
4098,チタン工業,スタンダード,素材・化学,化学,8.95,68.4,1242,"559,400","55,110",80,12/33,B
3905,データセクション,グロース,情報通信・サービスその他,情報･通信業,15.90,603.1,5140,"5,679,600","3,066,670",99,32/33,E
6806,ヒロセ電機,プライム,電機・精密,電気機器,9.99,67.7,27205,"407,400","190,465",87,3/33,A
2323,ｆｏｎｆｕｎ,スタンダード,情報通信・サービスその他,情報･通信業,9.45,223.3,417,"183,800","102,995",95,32/33,E
1948,弘電社,スタンダード,建設・資材,建設業,7.70,458.4,11470,"830,200","56,770",99,11/33,B
6999,ＫＯＡ,プライム,電機・精密,電気機器,9.94,225.3,2554,"798,900","688,025",97,3/33,A
