Rank,Grade,Industry(Sector33),Sector(17),RS,Median Raw,Count
1,A,非鉄金属,鉄鋼・非鉄,98,22.62,33
2,A,銀行業,銀行,96,22.09,79
3,A,電気機器,電機・精密,92,16.1,227
4,A,鉱業,エネルギー資源,90,13.73,5
5,A,海運業,運輸・物流,86,12.77,11
6,A,ガラス･土石製品,建設・資材,84,12.2,50
7,A,精密機器,電機・精密,80,11.16,51
8,B,建設業,建設・資材,78,8.67,143
9,B,石油･石炭製品,エネルギー資源,74,8.39,9
10,B,機械,機械,72,7.82,211
11,B,倉庫･運輸関連業,運輸・物流,68,7.24,31
12,B,輸送用機器,自動車・輸送機,66,6.74,85
13,B,化学,素材・化学,62,6.45,203
14,B,保険業,金融（除く銀行）,60,6.33,13
15,C,証券･商品先物取引業,金融（除く銀行）,56,6.19,36
16,C,繊維製品,素材・化学,54,5.22,47
17,C,鉄鋼,鉄鋼・非鉄,50,5.08,38
18,C,電気･ガス業,電気・ガス,48,5.03,28
19,C,金属製品,建設・資材,44,4.25,86
20,C,卸売業,商社・卸売,42,3.95,289
21,D,ゴム製品,自動車・輸送機,38,3.79,17
22,D,その他金融業,金融（除く銀行）,36,3.36,38
23,D,パルプ・紙,素材・化学,32,2.82,24
24,D,不動産業,不動産,30,2.15,131
25,D,陸運業,運輸・物流,26,1.94,57
26,D,その他製品,情報通信・サービスその他,24,1.86,105
27,D,水産・農林業,食品,20,0.79,12
28,E,食料品,食品,18,0.14,123
29,E,サービス業,情報通信・サービスその他,14,0.1,528
30,E,情報･通信業,情報通信・サービスその他,12,-0.18,593
31,E,小売業,小売,8,-0.29,325
32,E,医薬品,医薬品,6,-1.23,80
33,E,空運業,運輸・物流,2,-3.23,5
