コード,銘柄名,前日比(%),終値(円),当日出来高,25日平均出来高
1711,ＳＤＳホールディングス,5.56,266,"359,400","139,180"
1736,オーテック,11.63,2515,"37,700","3,624"
1860,戸田建設,8.32,1492,"2,468,900","841,516"
1926,ライト工業,8.05,4095,"490,800","132,592"
1960,サンテック,5.99,1504,"91,000","70,264"
1963,日揮ホールディングス,13.29,2710,"6,228,100","2,969,788"
1975,朝日工業社,12.48,4145,"395,400","91,296"
1979,大氣社,6.87,3735,"567,300","143,008"
2130,メンバーズ,6.86,1169,"554,100","82,872"
2179,成学社,7.19,790,"6,800","1,280"
2326,デジタルアーツ,5.21,4240,"376,800","188,940"
2475,ＷＤＢホールディングス,14.75,1704,"205,200","17,336"
2820,やまみ,7.32,3810,"33,900","15,128"
2874,横浜冷凍,15.02,1983,"440,700","143,816"
300A,ＭＩＣ,13.29,2950,"101,600","23,592"
3034,クオールホールディングス,12.54,1930,"574,400","125,624"
3106,倉敷紡績,14.02,11550,"110,700","39,952"
3156,レスター,12.50,3465,"261,700","51,532"
3182,オイシックス・ラ・大地,7.70,1510,"274,500","101,088"
3277,サンセイランディック,5.08,1385,"18,300","6,012"
3350,メタプラネット,6.15,328,"49,529,000","26,884,136"
3465,ケイアイスター不動産,13.82,3500,"392,000","155,004"
3551,ダイニック,25.41,1298,"255,300","14,840"
3611,マツオカコーポレーション,13.48,2366,"210,500","33,004"
3656,ＫＬａｂ,15.55,275,"24,671,600","12,084,728"
3683,サイバーリンクス,8.55,1066,"194,900","22,300"
3687,フィックスターズ,13.68,1554,"1,654,600","476,784"
3810,サイバーステップホールディングス,8.70,375,"8,538,400","2,690,828"
3853,アステリア,8.70,1524,"1,235,800","969,996"
3864,三菱製紙,8.73,1009,"730,100","248,820"
3907,シリコンスタジオ,9.43,952,"1,333,100","19,044"
3928,マイネット,6.42,282,"49,000","20,344"
3935,エディア,5.03,647,"117,100","94,740"
4040,南海化学,22.65,3790,"84,400","6,784"
4320,ＣＥホールディングス,25.02,1499,"31,800","23,148"
4350,メディカルシステムネットワーク,5.90,485,"245,500","45,156"
4351,山田再生系債権回収総合事務所,28.85,1340,"55,600","41,952"
4553,東和薬品,10.04,3780,"696,700","121,708"
4619,日本特殊塗料,17.97,2396,"288,600","40,408"
4631,ＤＩＣ,10.82,4199,"2,771,100","392,764"
475A,ギミック,5.91,1004,"17,000","15,428"
4776,サイボウズ,12.62,2392,"1,779,700","607,264"
4816,東映アニメーション,6.08,2758,"583,500","459,252"
4849,エン,5.09,1177,"600,700","159,384"
4933,Ｉ−ｎｅ,8.52,1146,"237,100","75,564"
4977,新田ゼラチン,7.21,1234,"168,200","41,940"
5020,ＥＮＥＯＳホールディングス,5.36,1386,"12,202,500","9,124,504"
5076,インフロニア・ホールディングス,6.37,2487,"5,006,900","2,379,572"
5192,三ツ星ベルト,5.13,4095,"138,700","52,612"
5463,丸一鋼管,7.22,1922,"2,739,700","483,628"
5714,ＤＯＷＡホールディングス,16.11,11640,"1,539,600","399,824"
5741,ＵＡＣＪ,6.13,3115,"1,463,100","829,824"
5901,東洋製罐グループホールディングス,7.95,3706,"856,400","448,632"
5989,エイチワン,20.24,1586,"1,245,900","173,316"
6013,タクマ,18.23,3255,"785,600","206,600"
6134,ＦＵＪＩ,11.00,7993,"2,780,000","533,956"
6226,守谷輸送機工業,8.15,2348,"429,500","277,348"
6254,野村マイクロ・サイエンス,13.66,4950,"3,298,800","758,648"
6307,サンセイ,5.87,487,"195,500","21,552"
