Rank,Grade,Industry(Sector33),Sector(17),RS,Median Raw,Count
1,A,非鉄金属,鉄鋼・非鉄,98,21.14,33
2,A,銀行業,銀行,96,19.83,79
3,A,電気機器,電機・精密,92,15.99,227
4,A,鉱業,エネルギー資源,90,13.66,5
5,A,精密機器,電機・精密,86,11.75,51
6,A,海運業,運輸・物流,84,11.38,11
7,A,ガラス･土石製品,建設・資材,80,9.32,50
8,B,機械,機械,78,8.63,211
9,B,輸送用機器,自動車・輸送機,74,8.2,85
10,B,石油･石炭製品,エネルギー資源,72,7.84,9
11,B,建設業,建設・資材,68,7.52,143
12,B,化学,素材・化学,66,7.23,203
13,B,倉庫･運輸関連業,運輸・物流,62,7.11,31
14,B,保険業,金融（除く銀行）,60,6.72,13
15,C,証券･商品先物取引業,金融（除く銀行）,56,6.08,36
16,C,電気･ガス業,電気・ガス,54,5.75,28
17,C,鉄鋼,鉄鋼・非鉄,50,5.09,38
18,C,繊維製品,素材・化学,48,4.95,47
19,C,金属製品,建設・資材,44,4.54,86
20,C,卸売業,商社・卸売,42,4.35,289
21,D,その他金融業,金融（除く銀行）,38,4.27,38
22,D,ゴム製品,自動車・輸送機,36,4.01,17
23,D,不動産業,不動産,32,2.72,131
24,D,その他製品,情報通信・サービスその他,30,2.42,105
25,D,パルプ・紙,素材・化学,26,2.0,24
26,D,陸運業,運輸・物流,24,1.69,57
27,D,水産・農林業,食品,20,0.72,12
28,E,サービス業,情報通信・サービスその他,18,0.41,528
29,E,食料品,食品,14,0.24,123
30,E,小売業,小売,12,-0.24,325
31,E,医薬品,医薬品,8,-0.38,80
32,E,情報･通信業,情報通信・サービスその他,6,-0.86,593
33,E,空運業,運輸・物流,2,-2.56,5
